City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
97,Kavaratti,10.57,72.64,80.71,81,36,11.74,IN,2020-10-18 21:28:49,Clouds
98,Ranong,9.97,98.63,78.04,86,97,7.96,TH,2020-10-18 21:28:49,Rain
99,Inhambane,-23.86,35.38,70.18,83,0,10.65,MZ,2020-10-18 21:28:49,Clear
100,Yulara,-25.24,130.99,66.2,93,90,6.93,AU,2020-10-18 21:28:49,Rain
101,Ribeira Grande,38.52,-28.7,62.6,72,40,19.46,PT,2020-10-18 21:28:50,Clouds
102,Banda Aceh,5.56,95.32,81.03,69,100,11.5,ID,2020-10-18 21:27:43,Clouds
103,Cayenne,4.93,-52.33,86.0,70,25,6.93,GF,2020-10-18 21:28:32,Clouds
104,Kobryn,52.21,24.36,43.75,72,100,9.22,BY,2020-10-18 21:26:31,Clouds
105,Alta Floresta,-9.88,-56.09,83.17,61,90,1.34,BR,2020-10-18 21:28:50,Rain
106,Katsuura,35.13,140.3,59.0,72,75,11.41,JP,2020-10-18 21:28:50,Rain
107,Pringsewu,-5.36,104.97,73.74,93,98,2.17,ID,2020-10-18 21:28:50,Rain
108,Bozdar,27.18,68.64,73.4,69,0,6.67,PK,2020-10-18 21:28:50,Haze
109,Tommot,58.96,126.29,9.79,91,0,2.26,RU,2020-10-18 21:28:51,Clear
110,Santiago,-33.46,-70.65,79.0,27,0,11.41,CL,2020-10-18 21:25:27,Clear
111,Valparaiso,-33.04,-71.63,66.2,52,0,11.41,CL,2020-10-18 21:28:36,Clear
112,Cherskiy,68.75,161.3,20.34,92,89,7.0,RU,2020-10-18 21:28:51,Clouds
113,Kirkwall,58.98,-2.96,41.0,86,100,3.36,GB,2020-10-18 21:26:46,Clouds
114,Sept-Iles,50.2,-66.38,43.0,87,75,4.7,CA,2020-10-18 21:28:51,Clouds
115,San Isidro,-12.12,-77.05,68.0,64,20,11.41,PE,2020-10-18 21:28:51,Clouds
116,Tuktoyaktuk,69.45,-133.04,15.8,92,20,2.24,CA,2020-10-18 21:28:51,Clouds
117,Pallasovka,50.05,46.88,62.13,68,86,11.07,RU,2020-10-18 21:28:52,Clouds
118,Zhigansk,66.77,123.37,10.42,93,71,5.88,RU,2020-10-18 21:28:52,Clouds
119,Honningsvag,70.98,25.97,37.4,93,40,5.82,NO,2020-10-18 21:28:52,Rain
120,Port Moresby,-9.44,147.18,77.0,100,75,5.82,PG,2020-10-18 21:28:52,Clouds
121,Cabo San Lucas,22.89,-109.91,89.01,66,40,5.82,MX,2020-10-18 21:28:52,Clouds
122,Sorkjosen,69.8,20.93,32.85,86,1,4.79,NO,2020-10-18 21:28:52,Clear
123,Maldonado,-34.67,-54.92,82.4,58,20,9.17,UY,2020-10-18 21:28:52,Clouds
124,Viedma,-40.81,-63.0,78.01,14,0,8.01,AR,2020-10-18 21:28:53,Clear
125,Ketchikan,55.34,-131.65,44.6,86,90,5.82,US,2020-10-18 21:25:15,Rain
126,Morondava,-20.28,44.28,74.53,90,16,6.6,MG,2020-10-18 21:28:53,Clouds
127,Dabakala,8.37,-4.43,77.76,81,82,2.89,CI,2020-10-18 21:28:53,Rain
128,Flinders,-34.58,150.86,59.0,87,86,1.99,AU,2020-10-18 21:28:53,Clouds
129,Olafsvik,64.89,-23.71,42.66,76,49,30.27,IS,2020-10-18 21:28:53,Clouds
130,Sinnamary,5.38,-52.95,82.87,74,57,9.64,GF,2020-10-18 21:25:26,Clouds
131,Pimentel,-6.84,-79.93,71.6,60,28,24.16,PE,2020-10-18 21:27:07,Clouds
132,Harper,4.38,-7.72,77.32,90,100,6.78,LR,2020-10-18 21:28:54,Rain
133,Bluff,-46.6,168.33,48.99,95,100,3.0,NZ,2020-10-18 21:28:54,Rain
134,Sainte-Maxime,43.3,6.63,51.8,87,0,1.12,FR,2020-10-18 21:28:54,Clear
135,Bathsheba,13.22,-59.52,84.2,74,40,5.82,BB,2020-10-18 21:28:26,Clouds
136,Torbay,47.67,-52.73,53.01,100,90,6.93,CA,2020-10-18 21:28:55,Clouds
137,Faanui,-16.48,-151.75,79.45,79,39,8.72,PF,2020-10-18 21:30:00,Clouds
138,Qaanaaq,77.48,-69.36,33.15,87,92,6.71,GL,2020-10-18 21:30:00,Clouds
139,Cape Town,-33.93,18.42,61.0,77,20,10.29,ZA,2020-10-18 21:29:00,Clouds
140,Emirdag,39.02,31.15,63.32,59,100,9.13,TR,2020-10-18 21:30:01,Rain
141,Isangel,-19.55,169.27,78.8,78,20,6.58,VU,2020-10-18 21:30:01,Clouds
142,Buraydah,26.33,43.98,69.8,22,0,3.36,SA,2020-10-18 21:26:27,Clear
143,Almansa,38.87,-1.1,54.0,77,66,2.77,ES,2020-10-18 21:30:01,Clouds
144,Cayhagan,9.67,122.43,79.32,82,80,6.17,PH,2020-10-18 21:30:01,Clouds
145,Esperance,-33.87,121.9,51.8,100,93,10.29,AU,2020-10-18 21:30:02,Clouds
146,Gornopravdinsk,60.05,69.9,28.06,98,92,7.72,RU,2020-10-18 21:30:02,Clouds
147,Pevek,69.7,170.31,24.82,94,97,16.82,RU,2020-10-18 21:30:02,Clouds
148,Kodiak,57.79,-152.41,48.2,61,75,9.17,US,2020-10-18 21:27:58,Clouds
149,Vestmanna,62.16,-7.17,39.2,93,100,3.36,FO,2020-10-18 21:30:02,Drizzle
150,Dhupgari,26.59,89.01,75.4,75,5,2.57,IN,2020-10-18 21:30:03,Clear
151,Sao Joao Da Barra,-21.64,-41.05,73.4,78,75,11.41,BR,2020-10-18 21:30:03,Clouds
152,Bay Roberts,47.6,-53.26,55.0,92,99,3.0,CA,2020-10-18 21:28:11,Clouds
153,Bethel,41.37,-73.41,57.99,58,20,10.29,US,2020-10-18 21:30:03,Clouds
154,Paharpur,32.1,70.97,71.53,21,0,2.89,PK,2020-10-18 21:30:03,Clear
155,Pangody,65.85,74.49,23.79,97,28,11.88,RU,2020-10-18 21:30:04,Clouds
156,Hsinchu,24.8,120.97,73.0,78,63,7.0,TW,2020-10-18 21:25:44,Clouds
157,Victoria,22.29,114.16,73.99,75,18,1.01,HK,2020-10-18 21:28:09,Clouds
158,Evensk,61.95,159.23,35.44,93,100,3.13,RU,2020-10-18 21:30:04,Rain
159,Linjiang,41.81,126.91,35.73,80,0,1.79,CN,2020-10-18 21:30:04,Clear
160,Dubbo,-32.25,148.62,51.8,87,5,5.95,AU,2020-10-18 21:30:04,Clear
161,Pasir Mas,6.05,102.14,77.0,100,20,3.36,MY,2020-10-18 21:30:06,Clouds
