City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,Port Hardy,50.7,-127.42,57.2,93,90,12.75,CA,2020-10-16 19:41:04
102,Severo-Kurilsk,50.68,156.12,41.23,75,76,18.34,RU,2020-10-16 19:41:04
103,Mar Del Plata,-38.0,-57.56,66.2,77,0,14.99,AR,2020-10-16 19:41:04
104,Castro,-24.79,-50.01,67.39,65,89,8.55,BR,2020-10-16 19:41:04
105,Senneterre,48.38,-77.23,42.8,48,75,3.36,CA,2020-10-16 19:36:45
106,Xining,36.62,101.77,36.86,75,27,1.63,CN,2020-10-16 19:41:05
107,Jamestown,42.1,-79.24,48.99,45,20,13.87,US,2020-10-16 19:41:05
108,Bosaso,11.28,49.18,81.95,47,0,5.23,SO,2020-10-16 19:41:05
109,Nanortalik,60.14,-45.24,40.51,81,80,11.43,GL,2020-10-16 19:41:05
110,Saldanha,-33.01,17.94,60.8,82,0,6.93,ZA,2020-10-16 19:41:05
111,Norman Wells,65.28,-126.83,19.4,79,90,14.99,CA,2020-10-16 19:41:06
112,Mataura,-46.19,168.86,44.01,87,84,3.0,NZ,2020-10-16 19:39:02
113,Mujiayingzi,42.12,118.78,41.34,59,0,9.8,CN,2020-10-16 19:41:06
114,Fairbanks,64.84,-147.72,16.0,84,1,8.05,US,2020-10-16 19:38:01
115,Bobo Dioulasso,11.18,-4.3,84.2,70,20,3.36,BF,2020-10-16 19:37:01
116,Chiang Klang,19.29,100.86,73.56,78,94,3.44,TH,2020-10-16 19:41:06
117,Clyde River,70.47,-68.59,33.8,100,90,5.82,CA,2020-10-16 19:39:45
118,Walvis Bay,-22.96,14.51,59.0,82,5,2.24,NA,2020-10-16 19:40:39
119,Hovd,48.01,91.64,32.95,79,0,0.96,MN,2020-10-16 19:41:07
120,New Norfolk,-42.78,147.06,39.99,70,100,2.15,AU,2020-10-16 19:41:07
121,Saint-Francois,46.42,3.91,48.99,93,90,4.7,FR,2020-10-16 19:41:07
122,Codrington,-38.27,141.97,54.61,95,100,11.54,AU,2020-10-16 19:41:07
123,Sao Filipe,14.9,-24.5,80.65,77,100,4.56,CV,2020-10-16 19:41:07
124,Whitianga,-36.83,175.7,53.01,93,0,1.01,NZ,2020-10-16 19:37:41
125,Port Augusta,-32.5,137.77,57.2,93,90,11.41,AU,2020-10-16 19:41:08
126,Yarada,17.65,83.27,78.8,100,75,4.7,IN,2020-10-16 19:41:08
127,Tasiilaq,65.61,-37.64,37.4,100,90,3.36,GL,2020-10-16 19:41:08
128,Deder,9.32,41.45,57.67,51,0,2.95,ET,2020-10-16 19:41:08
129,Kushima,31.46,131.23,61.39,89,100,5.7,JP,2020-10-16 19:41:08
130,Botelhos,-21.63,-46.4,68.34,81,100,4.18,BR,2020-10-16 19:41:08
131,Tigzirt,36.89,4.12,63.36,54,0,4.36,DZ,2020-10-16 19:41:08
132,Cabatuan,10.88,122.49,75.33,88,100,2.13,PH,2020-10-16 19:41:09
133,Beloha,-25.17,45.05,68.5,76,100,14.92,MG,2020-10-16 19:41:09
134,Chicama,-7.84,-79.15,64.4,82,20,14.99,PE,2020-10-16 19:41:09
135,Sucila,21.15,-88.32,84.24,78,34,8.61,MX,2020-10-16 19:41:09
136,Te Anau,-45.42,167.72,39.85,89,99,2.91,NZ,2020-10-16 19:39:25
137,Aykhal,66.0,111.5,10.4,92,0,4.47,RU,2020-10-16 19:41:09
138,Mackenzie,55.3,-123.17,35.6,64,90,9.17,CA,2020-10-16 19:42:14
139,Dikson,73.51,80.55,25.3,95,100,11.45,RU,2020-10-16 19:39:30
140,Pesochnoye,58.01,39.18,35.8,87,44,4.32,RU,2020-10-16 19:42:15
141,Constanta,44.18,28.65,66.2,88,20,6.93,RO,2020-10-16 19:42:15
142,Hobart,-42.88,147.33,41.0,86,75,2.24,AU,2020-10-16 19:38:56
143,Omboue,-1.57,9.26,75.79,84,99,8.34,GA,2020-10-16 19:42:15
144,Craig,40.52,-107.55,53.6,20,1,14.65,US,2020-10-16 19:39:29
145,Hope,33.67,-93.59,68.0,26,1,10.29,US,2020-10-16 19:39:17
146,Changji,44.02,87.32,46.4,45,0,2.24,CN,2020-10-16 19:42:16
147,Ponta Delgada,37.73,-25.67,66.2,88,75,10.29,PT,2020-10-16 19:42:16
148,Viedma,-40.81,-63.0,89.01,26,0,7.0,AR,2020-10-16 19:42:16
149,Longyearbyen,78.22,15.64,26.6,58,75,13.87,SJ,2020-10-16 19:42:16
150,Banda Aceh,5.56,95.32,81.34,70,100,13.44,ID,2020-10-16 19:40:59
151,Puerto Escondido,15.85,-97.07,86.0,62,40,8.05,MX,2020-10-16 19:42:02
152,Sola,-13.88,167.55,79.02,83,0,16.82,VU,2020-10-16 19:42:17
153,Tuktoyaktuk,69.45,-133.04,21.2,92,90,23.04,CA,2020-10-16 19:39:09
154,Basco,20.45,121.97,81.3,79,61,21.59,PH,2020-10-16 19:42:17
155,Ler,8.3,30.14,74.05,90,100,1.95,SS,2020-10-16 19:42:17
156,Avarua,-21.21,-159.78,75.2,60,87,14.99,CK,2020-10-16 19:42:17
157,Kaitangata,-46.28,169.85,46.0,88,76,3.0,NZ,2020-10-16 19:39:11
158,Saint-Philippe,-21.36,55.77,73.4,83,20,3.36,RE,2020-10-16 19:42:17
159,Trelew,-43.25,-65.31,80.08,26,0,12.28,AR,2020-10-16 19:42:17
160,Chuy,-33.7,-53.46,64.38,74,13,14.09,UY,2020-10-16 19:42:17
161,Dudinka,69.41,86.18,14.0,92,62,4.47,RU,2020-10-16 19:42:18
162,Port Elizabeth,-33.92,25.57,64.4,88,0,18.34,ZA,2020-10-16 19:38:58
163,Waipawa,-41.41,175.52,51.8,76,100,4.7,NZ,2020-10-16 19:42:18
164,Ribeira Grande,38.52,-28.7,68.0,72,75,10.29,PT,2020-10-16 19:42:18
165,Saint George,37.1,-113.58,75.99,11,1,4.7,US,2020-10-16 19:38:35
166,Hithadhoo,-0.6,73.08,83.5,75,85,21.27,MV,2020-10-16 19:42:19
167,Pangnirtung,66.15,-65.71,39.2,86,90,4.7,CA,2020-10-16 19:41:13
168,Zhigansk,66.77,123.37,19.49,95,96,6.38,RU,2020-10-16 19:37:21
169,Cayenne,4.93,-52.33,89.6,49,0,12.75,GF,2020-10-16 19:42:19
170,Dhrangadhra,22.98,71.47,86.77,60,95,8.28,IN,2020-10-16 19:42:19
171,Marawi,8.0,124.29,73.99,93,84,4.0,PH,2020-10-16 19:42:19
172,Shenjiamen,29.96,122.3,64.74,75,100,14.2,CN,2020-10-16 19:42:20
